service,type,genre,score,popularity
amazon,Movie,Adventure,6.3,17.073
amazon,Movie,Drama,6.3,17.073
amazon,Movie,History,6.3,17.073
netflix,Movie,Comedy,6.4,2.22
netflix,Movie,Romance,6.4,2.22
amazon,Movie,War,6.55,11.59
amazon,Movie,Action,6.55,11.59
amazon,Movie,Drama,6.55,11.59
amazon,Movie,History,6.55,11.59
amazon,Movie,Documentary,9.55,2.155
amazon,Movie,Animation,9.55,2.155
netflix,Movie,Action,6.5,22.413
netflix,Movie,Adventure,6.5,22.413
netflix,Movie,Crime,6.5,22.413
netflix,Movie,Thriller,6.5,22.413
hbo,Movie,Documentary,7.25,1.3769999999999998
netflix,Movie,Comedy,6.3,83.98899999999999
netflix,Movie,Drama,7.1,14.212
amazon,Movie,Romance,3.35,0.6
amazon,Movie,Action,3.35,0.6
netflix,Movie,Drama,6.65,11.764000000000001
netflix,Movie,Thriller,6.65,11.764000000000001
netflix,Movie,War,6.5,10.245
netflix,Movie,Drama,6.5,10.245
netflix,Movie,History,6.5,10.245
netflix,Movie,Horror,6.050000000000001,3.014
netflix,Movie,Horror,6.1,24.015
netflix,Movie,Crime,6.1,24.015
netflix,Movie,Drama,6.1,24.015
netflix,Movie,History,6.1,24.015
amazon,Movie,Drama,5.15,3.613
amazon,Movie,History,5.15,3.613
amazon,Movie,War,5.15,3.613
amazon,Movie,Science Fiction,3.75,0.84
netflix,Movie,Thriller,6.0,15.807
netflix,Movie,Drama,6.0,15.807
netflix,Movie,Horror,6.0,15.807
netflix,Movie,Comedy,5.25,7.176
amazon,Movie,Comedy,5.85,9.457
amazon,Movie,Drama,5.85,9.457
amazon,Movie,Romance,5.85,9.457
hulu,Movie,Comedy,6.55,7.956
hulu,Movie,Romance,6.55,7.956
netflix,Movie,Romance,6.449999999999999,14.719000000000001
netflix,Movie,Drama,6.449999999999999,14.719000000000001
netflix,Movie,Comedy,6.75,8.307
netflix,Movie,Romance,6.75,8.307
netflix,Movie,Drama,6.75,8.307
hbo,Movie,Comedy,6.65,6.978
hbo,Movie,Drama,6.65,6.978
netflix,Movie,Documentary,7.55,1.295
netflix,Movie,Documentary,7.35,9.849
netflix,Movie,Music,7.35,9.849
hulu,Movie,Documentary,7.3,8.099
hulu,Movie,Drama,7.3,8.099
hulu,Movie,Music,7.3,8.099
disney,Movie,Adventure,7.15,17.123
disney,Movie,Drama,7.15,17.123
disney,Movie,Family,7.15,17.123
disney,Movie,Fantasy,7.15,17.123
disney,Movie,Science Fiction,7.15,17.123
hbo,Movie,Science Fiction,8.2,41.468
hbo,Movie,Mystery,8.2,41.468
hbo,Movie,Adventure,8.2,41.468
netflix,Movie,Action,5.8,148.518
netflix,Movie,Adventure,5.8,148.518
netflix,Movie,Science Fiction,5.8,148.518
netflix,Movie,Music,3.05,1.037
netflix,Movie,Science Fiction,4.550000000000001,15.686
hulu,Movie,Science Fiction,4.949999999999999,46.761
hulu,Movie,Thriller,4.949999999999999,46.761
hulu,Movie,Action,3.45,4.27
hulu,Movie,Science Fiction,3.45,4.27
netflix,Movie,Drama,7.3,15.145999999999999
amazon,Movie,Drama,6.75,32.191
amazon,Movie,Crime,6.75,32.191
hulu,Movie,Drama,6.75,32.191
hulu,Movie,Crime,6.75,32.191
netflix,Movie,Drama,6.75,32.191
netflix,Movie,Crime,6.75,32.191
netflix,Movie,Comedy,5.8,22.809
amazon,Movie,Drama,7.5,16.149
amazon,Movie,Crime,7.5,16.149
amazon,Movie,Thriller,7.5,16.149
amazon,Movie,Drama,6.65,70.943
amazon,Movie,Crime,6.65,70.943
amazon,Movie,Thriller,6.65,70.943
netflix,Movie,History,7.0,15.57
netflix,Movie,Drama,7.0,15.57
netflix,Movie,Thriller,7.0,15.57
netflix,Movie,Crime,7.0,15.57
amazon,Movie,Drama,6.7,6.905
netflix,Movie,Horror,4.6,4.479
hulu,Movie,Drama,3.0999999999999996,0.922
hulu,Movie,Romance,3.0999999999999996,0.922
amazon,Movie,Action,5.85,23.276
amazon,Movie,Science Fiction,5.85,23.276
amazon,Movie,Thriller,5.85,23.276
amazon,Movie,Mystery,5.85,23.276
netflix,Movie,Action,5.85,23.276
netflix,Movie,Science Fiction,5.85,23.276
netflix,Movie,Thriller,5.85,23.276
netflix,Movie,Mystery,5.85,23.276
hbo,Movie,Documentary,3.0,1.148
netflix,Movie,Comedy,5.95,1.4
netflix,Movie,Drama,5.95,1.4
amazon,Movie,Documentary,3.4,0.611
amazon,Movie,Comedy,3.4,0.611
netflix,Movie,Documentary,7.6,1.402
netflix,Movie,Action,3.8499999999999996,4.501
netflix,Movie,Comedy,3.8499999999999996,4.501
netflix,Movie,Crime,3.8499999999999996,4.501
netflix,Movie,Comedy,6.1,15.179
netflix,Movie,Drama,6.1,15.179
hulu,Movie,Documentary,6.4,0.946
hulu,Movie,Horror,6.8,29.421999999999997
hulu,Movie,Thriller,6.8,29.421999999999997
hulu,Movie,Science Fiction,6.8,29.421999999999997
hulu,Movie,Romance,5.2,5.832999999999999
hulu,Movie,Comedy,5.2,5.832999999999999
netflix,Movie,Action,6.15,22.465999999999998
netflix,Movie,Drama,6.15,22.465999999999998
netflix,Movie,Thriller,6.15,22.465999999999998
netflix,Movie,Crime,7.55,2.198
netflix,Movie,Drama,7.55,2.198
netflix,Movie,Romance,7.4,15.568
netflix,Movie,Comedy,7.4,15.568
netflix,Movie,Drama,6.449999999999999,2.22
netflix,Movie,History,6.449999999999999,2.22
netflix,Movie,Drama,8.2,53.885
netflix,Movie,Comedy,8.2,53.885
amazon,Movie,Documentary,6.95,0.6
netflix,Movie,Documentary,7.2,0.6
netflix,Movie,Comedy,5.6,7.039
hbo,Movie,Documentary,7.300000000000001,5.736000000000001
hbo,Movie,Thriller,7.300000000000001,5.736000000000001
netflix,Movie,Comedy,4.35,0.6
hulu,Movie,Horror,6.5,30.668000000000003
hulu,Movie,Thriller,6.5,30.668000000000003
hulu,Movie,Action,5.9,43.872
hulu,Movie,Adventure,5.9,43.872
hulu,Movie,Comedy,5.9,43.872
netflix,Movie,Action,5.9,43.872
netflix,Movie,Adventure,5.9,43.872
netflix,Movie,Comedy,5.9,43.872
amazon,Movie,Comedy,3.3,13.044
netflix,Movie,Drama,7.1,1.805
netflix,Movie,Science Fiction,5.05,11.589
amazon,Movie,Documentary,6.65,1.912
amazon,Movie,Documentary,4.2,1.454
hulu,Movie,Romance,5.449999999999999,3.528
hulu,Movie,Comedy,5.449999999999999,3.528
netflix,Movie,Drama,5.15,60.56
netflix,Movie,Romance,5.15,60.56
amazon,Movie,Action,4.35,0.616
hbo,Movie,Documentary,7.5,5.547000000000001
hulu,Movie,Drama,7.3,16.058
hulu,Movie,Romance,7.3,16.058
amazon,Movie,Horror,4.85,18.293
amazon,Movie,Action,4.85,18.293
amazon,Movie,Comedy,6.35,2.3680000000000003
amazon,Movie,Romance,6.35,2.3680000000000003
hbo,Movie,Science Fiction,6.15,3.5410000000000004
hbo,Movie,Drama,6.15,3.5410000000000004
netflix,Movie,Documentary,7.6499999999999995,1.15
hbo,Movie,Comedy,7.15,8.221
hbo,Movie,Music,7.15,8.221
hbo,Movie,Romance,7.15,8.221
amazon,Movie,Action,2.8,0.87
amazon,Movie,Drama,2.8,0.87
amazon,Movie,Mystery,2.8,0.87
amazon,Movie,Thriller,2.8,0.87
hulu,Movie,Horror,5.699999999999999,40.937
hulu,Movie,Drama,5.699999999999999,40.937
hulu,Movie,Thriller,5.699999999999999,40.937
hulu,Movie,Adventure,5.699999999999999,40.937
amazon,Movie,Horror,5.35,32.251
amazon,Movie,Drama,5.35,32.251
amazon,Movie,Adventure,5.35,32.251
netflix,Movie,Family,4.75,15.179
netflix,Movie,TV Movie,4.75,15.179
amazon,Movie,Drama,6.0,2.2359999999999998
amazon,Movie,Comedy,6.0,2.2359999999999998
netflix,Movie,Comedy,5.85,11.005
netflix,Movie,Drama,5.85,11.005
hulu,Movie,Comedy,6.800000000000001,8.654
hulu,Movie,Drama,6.800000000000001,8.654
netflix,Movie,Comedy,6.800000000000001,8.654
netflix,Movie,Drama,6.800000000000001,8.654
netflix,Movie,Drama,7.45,1.014
netflix,Movie,Crime,7.45,1.014
hbo,Movie,Documentary,3.0,0.8859999999999999
netflix,Movie,Action,5.25,1.216
netflix,Movie,Comedy,5.25,1.216
netflix,Movie,Drama,6.1,8.479
