title,release_year,type,rating,service
In the Cut,2003,Movie,R,netflix
Luv Kushh,2012,TV Show,PG,netflix
Pororo - The Little Penguin,2013,TV Show,PG,netflix
Q-Force,2021,TV Show,R,netflix
Shikara,2020,Movie,PG-13,netflix
A Cinderella Story,2004,Movie,PG,netflix
Agatha Christie's Crooked House,2017,Movie,PG-13,netflix
An Unfinished Life,2005,Movie,PG-13,netflix
Barbie Big City Big Dreams,2021,Movie,G,netflix
Blade Runner: The Final Cut,1982,Movie,R,netflix
Brave Animated Series,2021,TV Show,R,netflix
Chappie,2015,Movie,R,netflix
Clear and Present Danger,1994,Movie,PG-13,netflix
Cliffhanger,1993,Movie,R,netflix
Cold Mountain,2003,Movie,R,netflix
Crocodile Dundee in Los Angeles,2001,Movie,PG,netflix
Dear John,2010,Movie,PG-13,netflix
Do the Right Thing,1989,Movie,R,netflix
"El patrón, radiografía de un crimen",2014,Movie,R,netflix
Extraction,2015,Movie,R,netflix
Freedom Writers,2007,Movie,PG-13,netflix
Green Lantern,2011,Movie,PG-13,netflix
House Party,1990,Movie,R,netflix
House Party 2,1991,Movie,R,netflix
House Party 3,1994,Movie,R,netflix
How to Be a Cowboy,2021,TV Show,PG,netflix
HQ Barbers,2020,TV Show,PG-13,netflix
I Got the Hook Up,1998,Movie,R,netflix
In Too Deep,1999,Movie,R,netflix
Initial D,2005,Movie,PG-13,netflix
Janoskians: Untold and Untrue,2016,Movie,R,netflix
Kid-E-Cats,2016,TV Show,G,netflix
Kuroko's Basketball,2015,TV Show,R,netflix
Labyrinth,1986,Movie,PG,netflix
Letters to Juliet,2010,Movie,PG,netflix
Level 16,2018,Movie,PG-13,netflix
Love Don't Cost a Thing,2003,Movie,PG-13,netflix
Love in a Puff,2010,Movie,R,netflix
Major Dad,1992,TV Show,PG,netflix
Mars Attacks!,1996,Movie,PG-13,netflix
Marshall,2017,Movie,PG-13,netflix
My Boss's Daughter,2003,Movie,R,netflix
Mystery Men,1999,Movie,PG-13,netflix
Oldsters,2019,TV Show,R,netflix
Once Upon a Time in America,1984,Movie,R,netflix
Open Season 2,2008,Movie,PG,netflix
Osmosis Jones,2001,Movie,PG,netflix
Poseidon,2006,Movie,PG-13,netflix
Rhyme & Reason,1997,Movie,R,netflix
Same Kind of Different as Me,2017,Movie,PG-13,netflix
School of Rock,2003,Movie,PG-13,netflix
