type,title,country,date_added,release_year,rating,duration,listed_in,description,service
TV Show,Yu-Gi-Oh! 5D's,,,2011,PG,2,"Anime,Kids","With the defeat of Director Goodwin and the Dark Signers, New Domino City's barriers have been torn down. City and Satellite are now one - united in the hope of building a brighter tomorrow. Yet in this time of renaissance and rebuilding, a new enemy emerges, and Yusei and his friends must rev it up in order to save the world – one duel at a time.",amazon
Movie,Young Lovers,,,1949,NC-17,86,Drama,"Talented and beautiful Carol Williams (Forrest) is devastated when she learns she has contracted Polio and becomes crippled by the disease. The depressed and embittered young woman breaks her engagement to her dance partner and choreographer, Guy Richards (Brasselle), but he is determined to stay by her side. Preferring to be alone in her misery, Carol slowly learns to allow others to help her and share in her grief. She is finally able to bring herself to participate in and go on with her new life.",amazon
Movie,Young Love (at the Sun Factory),,,2007,NR,36,Music Videos and Concerts,"Young Love celebrates the release of ""Too Young To Fight It"" with a midnight show inside an old factory building.",amazon
Movie,Young Love (at Bowery Ballroom),,,2007,NR,37,Music Videos and Concerts,"Young Love returns to Baeble's silver screen with a bigger stage, expanded setlist, nicer clothes, and the same blend of rock, dance, and pop.",amazon
TV Show,Young Lions,,,2002,R,1,"Drama,Thriller",Australian police show about two male and two female detective senior constables who solve crimes and deal with personal issues.,amazon
Movie,You're Not You,,,2015,R,103,Drama,A drama centered on a classical pianist who has been diagnosed with ALS and the brash college student who becomes her caregiver.,amazon
Movie,"You, Me and Him",,,2017,,98,"Comedy,Drama","In You, Me and Him we meet lesbian couple Olivia and Alex (Lucy Punch, Faye Marsay) who, despite their age difference, are very much in love. But as the question of pregnancy rears its head and their neighbor John (David Tennant) befriends them, they both start making some truly disastrous decisions.",amazon
Movie,Yoga with Sound Meditations,,,2016,G,9,"Health and Wellness,Special Interest","This session will establish how to prepare for the practice of both mindfulness and meditation. We learn to sit with a correctly aligned spine, to observe, regulate, slow down and control the breath. These in-turn will act upon the mind and begin to still its chatter and noise. Performed by Anne-Marie Newland founder of Sun Power Yoga teacher training school and author of ""Sun Power Yoga Shala!""",amazon
Movie,Yoga to Harness Your Chakra Energy,,,2014,G,18,"Faith and Spirituality,Special Interest","Sharecare Windows presents Caroline Shola Arewa who describes the positions, meaning and qualities of energy, as well as the seven main chakras, gently leading you into a guided chakra meditation. Chakras are at the heart of the human energy system and understanding the chakra system can positively affect your physical health, emotional stability and spiritual awareness.",amazon
Movie,Yoga to Ease Flight Anxiety,,,2016,G,14,"Health and Wellness,Special Interest",Reduce the stress of flying by using these simple and affective yoga-based moves to keep the blood flowing around the body. Help prevent Deep Vein Thrombosis and allow the heart and the brain to get as much oxygen on board as possible. Drink plenty of water and get up and walk-It's really simple and effective.,amazon
Movie,Yoga to Break Any Habit,,,2014,G,20,Special Interest,"This session with Dr Daniel J Nightingale is helpful for anyone whose quality of life is diminished by habitual and addictive behavior. Discover techniques that can help you break your habit, allowing you to become in control of IT, rather than IT being in control of you. This session will prove to be beneficial to you any time you wish to listen to it-day or night.",amazon
TV Show,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",,,2018,G,1,Health & Wellness,Lindsey teaches you how to relieve pain & tension throughout the body. This series includes Yoga Flow Classes and videos that simply teach you the stretches. These gentle classes are perfect even if you've never done yoga.,amazon
Movie,Yoga Savasana Relaxation,,,2014,G,19,"Health and Wellness,Special Interest",Relax and reduce your stress while you lay down in a comfortable position to listen to this session. Yoga relaxation takes the whole body into a deep state of conscious relaxation. During a sleep or dream state the conscious mind is switched off and we have dreams which can result in not sleeping well and then you often wake up feeling exhausted.,amazon
Movie,Yoga for Relaxation Anywhere,,,2014,G,18,"Health and Wellness,Special Interest","Yoga relaxation takes the whole body into a deep state of conscious relaxation. This means the mind has been afforded the tools needed to switch off its subconscious. During a sleep or dream state, the conscious mind is turned in the off position and as a result we have dreams which may lead to you not sleeping well, waking up often and feeling exhausted.",amazon
Movie,Yoga for Relaxation and Stress Relief Anywhere,,,2014,G,20,"Health and Wellness,Special Interest","This session was designed to help you relax and reduce your level of stress with a daily dose of relaxation for the mind and the body. Lower your anxiety and increase your coping skills through the use of breathing that regulates the heart rhythm. In these stress relief sessions, the medical profession has evidence that the heart rate can actually drop and thus inducing calm.",amazon
Movie,Yoga for Relaxation and Stress Relief,,,2014,G,20,Special Interest,"Relax and reduce your stress while you lay down in a comfortable position to listen to this session. It is a scientific fact that an overload of stress at home or work will eventually affect the body, the mind and its health. A daily dose of relaxation for the Mind and the body will help stress levels to lower by using the breath to regulate the heartbeat.",amazon
Movie,Yoga for Mindfulness and Meditation,,,2016,G,22,"Health and Wellness,Special Interest","We take you through Buddhist mindful philosophy, Yoga mantra meditation and a guided meditation session for use in your everyday life. Focusing on anything in your environment that you find soothing and calming helps you relax and our session gives you the tools to take your practice to new levels. Guided by Anne-Marie Newland the founder of Sun Power Yoga and author of Sun Power Yoga Shala.",amazon
Movie,Yoga for Men's Health,,,2016,G,60,"Health and Wellness,Special Interest","This session helps create confidence with simple technical rules that help develop your physical and mental ability. It is ideal for those who have never tried Yoga before as well as for the more advanced. The focus is on areas that are problematic for men, tight hips, thighs, groins, chest and back and increasing oxygen to the prostate gland. Guided by Anne-Marie Newland founder of Sun Power Yoga",amazon
Movie,Yoga for Breath Awareness,,,2016,G,6,"Health and Wellness,Special Interest","This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. It is easy to begin this awareness by implementing five simple steps. This is perfect for short everyday relaxation before your exercise practice. Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga.",amazon
Movie,Yoga For Beginners,,,2016,G,54,"Health and Wellness,Special Interest","This session is about the key to yoga - synchronized movement and breathing. Enjoying your experience is very important-don't push yourself to hard! This session is suitable for beginners of all levels of fitness and works every part of your body, offering variations for all movements. Guided by Anne-Marie Newland of Sun Power Yoga and Author of Sun Power Yoga Shala.",amazon
Movie,Yoga for Abdominal Breathing,,,2019,G,5,Special Interest,"This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. Practice this for at least 5 minutes. If you did this each day you would notice stress levels dropping, sleep improve and your ability to focus as well as feeling a lot calmer!. Accompanying video Iao Valley on Maui.",amazon
Movie,Yellowneck,,,1955,NC-17,84,"Action,Military and War,Western","During the U.S. Civil War, five deserters (yellownecks) from the Confederate army decide to embark on a dangerous mission through the Florida everglades to escape to Cuba. They have to survive snakes, a Florida panther, quicksand, and a hurricane in the swamps, along with local angry indians. Only one of the men will survive to make it to the Florida coast, but which one? The hurricane scenes involve footage form a real hurricane that hit Florida during the shooting of the film.",amazon
TV Show,Yearly Departed,,,2020,R,1,"Arts/Entertainment/Culture,Comedy,Talk Show and Variety","Goodbye and good riddance, 2020. In this hilarious, absurd, life-affirming comedy special, seven outspoken female comedians lay to rest the year that never seemed to end. Hosted by Phoebe Robinson (2 Dope Queens), a lineup of some of the world's funniest women bid farewell to 2020's biggest conceptual casualties, from TV Cops to Casual Sex, giving the year a cathartic sendoff.",amazon
Movie,Yatra (Telugu),,,2019,G,126,"Drama,International",An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,amazon
Movie,Yatra (Malayalam),,,2019,G,125,"Drama,International",An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,amazon
TV Show,Yancy Derringer,,,1959,PG-13,1,"Action,Western","Yancy Derringer, an ex-Confederate soldier turned gambler, was a suave lady's man in New Orleans, Louisiana. In reality, he was working for John Colton, the civil administrator of the city. Yancy's job was to prevent crime and if necessary, arrest the culprits. His constant companion was Pahoo-Ka-Ta-Wah a Native American who watches Yancy's back.",amazon
TV Show,Xploration Earth 2050,,,2017,G,2,"Documentary,Science Fiction","What will the world look like in 2050? Where will advancements in science, technology, engineering, and math lead us? Host Chuck Pell takes viewers on a mind bending journey in search of these answers.",amazon
TV Show,Xiaolin Chronicles,,,2015,G,1,"Adventure,Animation,Kids","Newcomer Ping Pong joins the legendary Xiaolin Monks: Omi, Kimiko, Raimundo, and Clay for fantastical new adventures! Leading the dark forces is Heylin Dragon Chase, who vows to revenge against Xiaolin. Throwing a monkey's wrench into the mix is supervillain wannabe Jack Spicer. Under the tutelage of an evil witch, Jack and his robot army are gunning for the Shen Gong Wu for world domination.",amazon
Movie,Xchange,,,2001,R,109,"Fantasy,Science Fiction,Thriller",A man learns the danger of a new technology that allows people to transport their minds into a waiting body at their chosen destination when his body is taken over by a terrorist.,amazon
Movie,X-Ray,,,1983,R,89,Thriller,"A psychotic killer keeps a young girl trapped inside a hospital, having fixed her x-rays to make it look like she has a terminal illness, and brutally murders everyone she comes in contact with.",amazon
TV Show,WWII in HD,,,2009,PG-13,1,Action,"The only people to see the war like this were the ones who fought it. Until now...70+ years in the making. The first documentary to show World War II from the perspective of both sides in full, immersive HD color, WWII in HD uses the diaries of soldiers who fought in the war's biggest battles to create a personal, introspective and detailed look at life on and off the front lines.",amazon
Movie,Wrangler: Anatomy of an Icon,,,2008,NC-17,85,"Documentary,LGBTQ+","From the dawn of the sexual revolution comes the outrageous and true story of 1970s gay porn icon Jack Wrangler. Jack rose to become a major brand name in adult entertainment, as well as a hero to the newly liberated gay population, only to cross over to straight movies and fall in love with famous vocalist Margaret Whiting.",amazon
TV Show,WPC 56,,,2015,PG-13,3,"Drama,Romance,Thriller","The third series of WPC 56 follows WPC Annie Taylor, one of the first female police constables to serve in England's West Midlands in 1956.",amazon
TV Show,Would I Lie to You?,,,2009,PG,1,"Comedy,Special Interest,Unscripted","On the third season of 'Would I Lie to You?' there is a new host, Rob Brydon, who joins regular team captains David Mitchell and Lee Mack David Mitchell. Together, they have to work out whether their celebrity guests are telling true stories from their weird and wonderful lives, or spinning a tall tale based on a lie given to them by the production team.",amazon
TV Show,World’s Toughest Race: Eco-Challenge Fiji,United States,,2020,PG-13,1,Unscripted,"66 teams descend upon Fiji to compete in the most epic global adventure race ever attempted. Bear Grylls hosts this 11-day expedition that pushes competitors to their physical and emotional limits. For the veteran teams the goal is to win – but for most, the dream is to finish and prove to themselves and the world, that they can prevail in the World’s Toughest Race.",amazon
TV Show,World War II: When Lions Roared,,,1994,PG-13,1,Drama,"At the Tehran and Yalta Conferences, the strong personalities of three of the world's most powerful leaders threaten their fragile alliance. This riveting historical drama portrays the precarious relationship between Franklin D. Roosevelt, Winston Churchill and Joseph Stalin at the pivotal moments when the final strategies of the war hung in the balance.",amazon
Movie,World War II: Saving the Reality,,,2012,,56,Documentary,"Over the course of five decades, Kenneth W. Rendell amassed the largest and most comprehensive private collection of original World War II memorabilia in the world. Narrated by Dan Aykroyd, World War II: Saving the Reality opens the doors to this private museum. Rendell provides a guided tour of the museum's 30 exhibits.",amazon
TV Show,World War 2 - The Call of Duty: A Complete Timeline,,,2020,PG-13,1,"Documentary,Military and War","Track the main events of World War II with the help of remarkable archive footage and see exactly what happened, and when. Learn about Pearl Harbor, The Battle of Britain, D-Day, the dropping of the atomic bomb and more. From the early battles right through to the complexities of the endgame, this extensive 24 episode series shines a spotlight on a period of history that should never be forgotten.",amazon
Movie,World Inferno Friendship Society,,,2007,NR,40,Music Videos and Concerts,The circus comes to town with this performance at the traveling Spiegeltent from Wolrd Inferno Friendship Society.,amazon
TV Show,WordWorld,,,2007,G,1,Kids,The loveable WordFriends take children on adventures in a world of words where they encounter all sorts of situations that can only be solved by building a word!,amazon
Movie,Words On Bathroom Walls,,,2020,PG-13,111,Drama,"Diagnosed with a mental illness, a witty, introspective teen falls in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition.",amazon
TV Show,WordGirl,,,2010,G,1,Kids,WordGirl and her sidekick Captain Huggy Face take down quirky villains in every action-packed episode.,amazon
TV Show,Wonders of Mexico,,,2018,G,1,"Documentary,Special Interest","Mexico is rich in culture and ablaze with color. Discover the hidden underworlds, diversity of life, and a mosaic of vast landscapes that create a festival of life. Includes: Forests of the Maya, Mountain Worlds, and Burning North.",amazon
Movie,Wonderful Nursery Rhymes with Mia - Little Baby Bum,,,2019,G,33,Kids,LittleBabyBum is proud to present a compilation with some of the most popular and educational nursery rhymes with Mia!,amazon
Movie,Wonderful Nursery Rhymes with Jacus - By Little Baby Bum,,,2019,G,34,Kids,Enjoy this educational and fun compilation of classic nursery rhymes with Jacus from Little Baby Bum!,amazon
TV Show,Wonder Balls,,,2015,G,1,"Animation,Kids","Enjoy parades of unique and fun ball characters! Wonder Balls bring the best performances to the stage. When they meet, they start playing right away. Brush Ball, Sponge Ball, Water Ball, Accordion Ball, Castanets Ball, Xylophone Ball and more join to complete stories of vivacious arts, exciting music and joyful play.",amazon
Movie,Women of Valor,,,1986,R,95,"Action,Drama","Susan Sarandon and Kristy McNichol star in this powerful drama sent during World War II, when a group of U.S. Army nurses in the Philippines are captured and imprisoned by Japanese troops.",amazon
Movie,Woman Of Desire,,,1994,R,99,"Drama,Thriller","A yacht captain, Jack Lynch, is accused of murdering his boss and raping the victim's wife, Christina Ford. Nothing is how it first appears. Jack seeks the help of veteran attorney Walter J. Hill to help prove his innocence.",amazon
Movie,Woke Up Like This,,,2017,PG-13,104,Comedy,"A story about Nando, who's a dutiful son and breadwinner to his family, and Sabrina, a rich kid and one of the top models in the country. While both prepare for their biggest breaks, these two strangers wake up one day in an extraordinary circumstance, switching bodies with each other. Philippines Tagalog movie.",amazon
Movie,"Wizard of Loneliness, The",,,1988,PG-13,111,Drama,"Twelve year old Wendell is a confirmed cynic, sent to his grandparents Vermont farm during World War II. His only desire is to steal enough money to run away, until his loving grandparents, and young Aunt Sybil involve him in their lives.",amazon
Movie,Within Our Gates,,,1920,PG-13,78,Drama,"Abandoned by her fiance, an educated negro woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished negro youths.",amazon
TV Show,Wishenpoof,United States,,2019,G,4,Kids,"Bianca is just like any other little girl, except for one teensy little thing.  Bianca has Wish Magic, so she can make wishes come true! Whether she’s at home in Wish World, at the Willow Tree with her fairy friends, or at school with her non-fairy friends, Bianca and her hilarious teddy bear sidekick Bob navigate day-to-day problems.",amazon
TV Show,Wipeout Canada,,,2011,G,1,"Comedy,Documentary,Unscripted","Daring Canadian contestants are in pursuit of cash prizes on an extreme obstacle course designed to provide the most spectacular spills, face plants, and splashdowns.",amazon
TV Show,Wipeout Australia,,,2009,G,1,"Comedy,Documentary,Unscripted","Based on the US game show of the same name, the Australian Wipeout is filmed in Argentina, where Aussie contestants battle ""the world's biggest obstacle course in order to win AUD $20,000."" Hosted by actor Josh Lawson and sports presenter James Brayshaw, the series will also feature Kelly Landry as an on-location reporter.",amazon
Movie,Winterset,,,1936,NR,77,"Action,Drama","Immigrant radical Bartolomeo Romagna is falsely condemned and executed for a payroll robbery. Years later, his son Mio sets out to find the truth of the crime and to bring to account the gangster Trock Estrella.",amazon
Movie,Winds Of The Wasteland,,,1936,PG-13,55,Western,Wayne is the head of a stagecoach company and he and his friend fix up a stagecoach and compete with others for government contracts in the days of the Pony Express. The Duke was beginning to show more polish and confidence in this film and his fans will enjoy the action.,amazon
Movie,Wind,,,1992,PG-13,126,"Action,Drama,Sports","Will Parker loses the Americas Cup, the worlds biggest sailing prize, to the Australians and decides to form his own syndicate to win it back.",amazon
Movie,William the Conqueror,,,2015,PG-13,53,"Documentary,Special Interest","One of the most powerful rulers in all of European history, William the Conqueror, is profiled in this documentary. From his rulership at age eight, to his commanding victory in the battle of Hastings, William reinvented the structure of European royalty. From the battlefield to the royal court, William set the stage for the continent's future. This is his story.",amazon
Movie,William Tecumseh Sherman: Beyond the March to the Sea,,,2019,PG-13,115,"Documentary,Special Interest","Soldier, banker, lawyer, professor; William Tecumseh Sherman was more than a Civil War General. Sherman voyaged the world, influenced the California Gold Rush, started banks and Louisiana State University. He advised and entertained presidents, and changed the dynamic of war. Later he set decades of policy in the American West. Few leaders have had such a contentious impact on America as Sherman.",amazon
Movie,William Lee Martin: The Nutcracker - A Christmas Stand-up Comedy Spectacular,,,2019,R,55,"Arts/Entertainment/Culture,Comedy","The Texas comedian returns with his third television one-hour special talking all things Christmas including traditions, the pitfalls of having family over, and finding the ultimate gift in this one-of-a-kind stand-up special.",amazon
Movie,William Lee Martin: Standing in the Middle,,,2019,NC-17,58,"Arts/Entertainment/Culture,Comedy,Special Interest","The middle aged, middle class, Texas comedian talks about life, being married, raising his five kids, and surviving in the middle of an America that is always changing.",amazon
Movie,William and Kate: Into the Future,,,2011,G,49,"Documentary,International,Special Interest","From student to royal girlfriend and then to modern day princess, Kate Middleton has made a remarkable journey. In less than a decade, this normal girl from an ordinary background has won her prince charming and become the prospective Queen of England.",amazon
Movie,Wildlike,,,2021,R,104,"Action,Drama","An unlikely friendship forms in the spectacular Alaskan wilderness, giving a runaway girl hope and sanctuary in America's last frontier.",amazon
Movie,Wildfire 7,,,2002,,95,"Action,Drama","A female prison inmate is recruited into a special fire fighting program, only to find her expertise is needed sooner than expected",amazon
TV Show,Wildest Places,,,2019,G,3,"Documentary,Special Interest","In terms of rainfall, the Antarctic is the driest place on earth, yet it holds more than two-thirds of the planet's fresh water. With plunging temperatures and powerful winds, our southernmost land mass is an unrelenting habitat. Nevertheless, life persists, and extraordinary creatures answer the call of the seasons. This frozen tundra is the Wildest Antarctic.",amazon
Movie,Wilder Napalm,,,1993,PG-13,109,"Comedy,Science Fiction","Two brothers with the secret power of starting fires with their minds, reunite after years apart, only to find conflict with their differing lifestyles.",amazon
TV Show,Wild North,,,2014,G,1,"Documentary,Special Interest","""Wild North"" moves through three biotopes; vast forests, rugged coastline and interior highlands shaped by shifting ice ages. These landscapes resonate deep within the Scandinavian soul, floating into view like illustrations from shared fairy tales. And so do the iconic animal species that feature strongly in each programme, stirring ancestral memories and reaffirming our connection with the land.",amazon
TV Show,Wild Kratts,,,2011,G,1,Kids,"The real-life Chris and Martin introduce each Wild Kratts episode with a live action segment that imagines what it would be like to experience a never- before-seen wildlife moment, and asks, ""What if...?"" The Kratt brothers transition into animation and the adventure begins, bringing early-elementary school children into the secret lives of extraordinary creatures, many of which have never been animated before - including proboscis monkeys, draco lizards and caracals!",amazon
Movie,Wild Geese,,,2012,NC-17,135,Action,"Screen legends Richard Burton, Roger Moore and Richard Harris star as a team of aging mercenaries hired by a wealthy industrialist for one final mission: Recruit and train a squad of desperate commandos, parachute into an unstable African nation, snatch its deposed President from a maximum security army prison, escape via the military-controlled airport, and massacre anyone who gets in their way.",amazon
Movie,Wild Colombia Revealed,,,2016,G,91,"Documentary,Special Interest","Nestled at the top of South America, Colombia is a dream for ecologists everywhere. Filmed at over 85 locations with 150 hours of footage, this ambitious natural history feature showcases 38 different species from 20 documented ecosystems. From jaguars in the shadows hunting their prey to the silver arowana fish mouth-brooding its young, this film reveals the wonder and majesty of Colombia.",amazon
TV Show,Wild Boys,,,2011,PG-13,1,"Drama,Western","Wild Boys is an Australian television period drama series set in Australia 1860s, in and around the fictional town of Hopetoun. The show follows a gang of bushrangers as they stage hold-ups determined to keep ahead of the troopers or wind up at the end of a noose.",amazon
Movie,Why We Fight,,,2006,PG-13,99,Documentary,"Winner of the 2005 Grand Jury Prize at the Sundance Film Festival, Eugene Jarecki's groundbreaking documentary dissects the political, economic and historic reasons behind our increasingly aggressive military strategy since the end of World War II.",amazon
Movie,Whoop!,India,,2018,NC-17,64,Arts/Entertainment/Culture,"Abish Mathew is the world's greatest stand-up comedian (*citation needed) and this is the world's greatest stand up special (*this definitely needs a citation). Every great punchline has a great set up! And in this one-hour special, we find out how Abish was set up to be a punchline his whole life.",amazon
Movie,Who Wrote the New Testament?,,,2016,G,131,"Drama,Special Interest","How did a collection of 27 compositions, letters, and narratives come to change the course of history? This feature-length film explores often controversial questions and debates at the heart of modern biblical studies. Who were the people that drove the spread of this seminal Christian text and how do modern scholars interpret the texts and other artifacts at the heart of this mysterious history.",amazon
Movie,Who Put The Klan Into Ku Klux Klan,,,2018,PG-13,59,Documentary,"In this surprising documentary, archaeologist and historian Neil Oliver examines the links between racism today in the Deep South and the Scots who first occupied it.",amazon
Movie,Who Killed Doc Robin,,,1948,NR,52,Comedy,"A group of people find themselves trapped in a creepy mansion, complete with secret passageways, a mad doctor and a murderous gorilla.",amazon
Movie,Whitney Cummings: Money Shot,,,2010,,48,"Arts/Entertainment/Culture,Comedy,Special Interest","Money Shot finds Cummings riffing on a wide range of topics chiefly, the differences between men and women and how both tend to behave in relationships.",amazon
